content,score,at,userName,sentiment,text_clean,text_StopWord,text_stemmed
masih kurang akurat,2,2024-11-24 05:40:53,Pengguna Google,Negatif,masih kurang akurat,akurat,akurat
Sekarang melihat radar awan kok gak bisa,1,2024-11-24 00:30:42,Pengguna Google,Negatif,sekarang melihat radar awan kok gak bisa,radar awan gak,radar awan gak
Ok,5,2024-11-23 06:35:01,Pengguna Google,Positif,ok,ok,ok
mantap,5,2024-11-23 00:27:30,Pengguna Google,Positif,mantap,mantap,mantap
Aplikasi ini sangat membantu untuk melihat cuaca di sekitar...,5,2024-11-22 09:54:45,Pengguna Google,Positif,aplikasi ini sangat membantu untuk melihat cuaca di sekitar,aplikasi membantu cuaca,aplikasi membantu cuaca
"Ramalan BMKG gk akurat masalah cuaca, di aplikasi hujan lebat Disini gk hujan mallahh panas cuaca nya perbaiki lg ke akuratan nya",1,2024-11-21 10:50:42,Pengguna Google,Negatif,ramalan bmkg gk akurat masalah cuaca di aplikasi hujan lebat disini gk hujan mallahh panas cuaca nya perbaiki lg ke akuratan nya,ramalan bmkg gk akurat cuaca aplikasi hujan lebat gk hujan mallahh panas cuaca nya perbaiki lg akuratan nya,ramalan bmkg gk akurat cuaca aplikasi hujan lebat gk hujan mallahh pana cuaca nya perbaiki lg akuratan nya
knpa gag bisa di buka,3,2024-11-21 05:29:37,Pengguna Google,Netral,knpa gag bisa di buka,knpa gag buka,knpa gag buka
gk update dan gk Akurat🥲,2,2024-11-21 05:18:14,Pengguna Google,Negatif,gk update dan gk akurat,gk update gk akurat,gk updat gk akurat
Ok,4,2024-11-20 19:12:15,Pengguna Google,Positif,ok,ok,ok
"Terus sempurnakan lagi ya bmkg, saya suka ke akuratan cuaca dari estimasi sampai kapan turun hujan..",5,2024-11-19 16:14:08,Pengguna Google,Positif,terus sempurnakan lagi ya bmkg saya suka ke akuratan cuaca dari estimasi sampai kapan turun hujan,sempurnakan ya bmkg suka akuratan cuaca estimasi turun hujan,sempurnakan ya bmkg suka akuratan cuaca estimasi turun hujan
Pokoknya mantap,5,2024-11-19 13:56:14,Pengguna Google,Positif,pokoknya mantap,pokoknya mantap,pokoknya mantap
Hak bisa dibuka.. Error..,3,2024-11-19 13:24:09,Pengguna Google,Netral,hak bisa dibuka error,hak dibuka error,hak dibuka error
semoga akurat,5,2024-11-18 15:01:15,Pengguna Google,Positif,semoga akurat,semoga akurat,semoga akurat
sekarang sering eror ya radar cuacanya sering stak atau tidak bergerak... awan hujannya diradar tak bergerak lebih dari 1 jam,3,2024-11-18 07:00:45,Pengguna Google,Netral,sekarang sering eror ya radar cuacanya sering stak atau tidak bergerak awan hujannya diradar tak bergerak lebih dari  jam,eror ya radar cuacanya stak bergerak awan hujannya diradar bergerak jam,eror ya radar cuacanya stak bergerak awan hujannya diradar bergerak jam
Sangat membantu untuk mengetahui cuaca hujan,4,2024-11-18 05:52:59,Pengguna Google,Positif,sangat membantu untuk mengetahui cuaca hujan,membantu cuaca hujan,membantu cuaca hujan
Ok,5,2024-11-18 04:24:48,Pengguna Google,Positif,ok,ok,ok
Bgus,5,2024-11-17 22:41:03,Pengguna Google,Positif,bgus,bgus,bgu
"Aplikasi sangat membantu, tapi sayang.a daerah srby dan sekitar tidak terjangkau sampai saat mungkin dari pihak aplikasi segera selesaikan karena apk ini sangat membantu bagi orang"" yg suka perjalanan jauh 🙏",5,2024-11-17 13:35:55,Pengguna Google,Positif,aplikasi sangat membantu tapi sayanga daerah srby dan sekitar tidak terjangkau sampai saat mungkin dari pihak aplikasi segera selesaikan karena apk ini sangat membantu bagi orang yg suka perjalanan jauh ,aplikasi membantu sayanga daerah srby terjangkau aplikasi selesaikan apk membantu orang yg suka perjalanan,aplikasi membantu sayanga daerah srbi terjangkau aplikasi selesaikan apk membantu orang yg suka perjalanan
sangat membantu,3,2024-11-17 08:04:24,Pengguna Google,Netral,sangat membantu,membantu,membantu
Kami meŕasa terbantu dlm keadaan dan kondisi alam yang terjadi.kaml bs melakukan upaya apa yg harus supaya aman. Terima kasih.!!,5,2024-11-16 21:48:15,Pengguna Google,Positif,kami meŕasa terbantu dlm keadaan dan kondisi alam yang terjadikaml bs melakukan upaya apa yg harus supaya aman terima kasih,meŕasa terbantu dlm kondisi alam terjadikaml bs upaya yg aman terima kasih,meŕasa terbantu dlm kondisi alam terjadikaml bs upaya yg aman terima kasih
notifnya kenapa mati ya 2 hari ini,4,2024-11-16 14:01:15,Pengguna Google,Positif,notifnya kenapa mati ya  hari ini,notifnya mati ya,notifnya mati ya
Sangat membantu utk mengetahui cuaca dan gempa yg ada di seluruh kota di Indonesia jdi lebi waspada krn ada notif yg di informasikan,5,2024-11-15 21:27:21,Pengguna Google,Positif,sangat membantu utk mengetahui cuaca dan gempa yg ada di seluruh kota di indonesia jdi lebi waspada krn ada notif yg di informasikan,membantu utk cuaca gempa yg kota indonesia jdi lebi waspada krn notif yg informasikan,membantu utk cuaca gempa yg kota indonesia jdi lebi waspada krn notif yg informasikan
Ut cuaca cukup akurat,4,2024-11-15 10:18:46,Pengguna Google,Positif,ut cuaca cukup akurat,ut cuaca akurat,ut cuaca akurat
Kenapa saya kasih bintang empat 🌟🌟🌟🌟 Karena ini pemerintah yang boleh pakek jadi saya kasih bintang empat 🌟🌟🌟🌟,4,2024-11-15 03:40:25,Pengguna Google,Positif,kenapa saya kasih bintang empat  karena ini pemerintah yang boleh pakek jadi saya kasih bintang empat ,kasih bintang pemerintah pakek kasih bintang,kasih bintang pemerintah pakek kasih bintang
"Saya mau kasih saran, untuk notifikasi gempa sebaiknya hanya di berikan yang dekat dengan lokasi kita berada, selama ini semua notifikasi gempa masuk walaupun lokasinya sangat jauh dari kita.Terimakasih",5,2024-11-14 08:44:28,Pengguna Google,Positif,saya mau kasih saran untuk notifikasi gempa sebaiknya hanya di berikan yang dekat dengan lokasi kita berada selama ini semua notifikasi gempa masuk walaupun lokasinya sangat jauh dari kitaterimakasih,kasih saran notifikasi gempa lokasi notifikasi gempa masuk lokasinya kitaterimakasih,kasih saran notifikasi gempa lokasi notifikasi gempa masuk lokasinya kitaterimakasih
Biasa,5,2024-11-13 10:17:23,Pengguna Google,Positif,biasa,,
Mantap,5,2024-11-12 11:59:02,Pengguna Google,Positif,mantap,mantap,mantap
Untuk informasi kualitas udara mohon diperluas lagi.khususnya daerah yang sering terjadi kebakaran hutan.untuk tampilan cuaca mohon dilengkapi lagi seperti aplikasi-aplikasi lain.,3,2024-11-12 10:26:44,Pengguna Google,Netral,untuk informasi kualitas udara mohon diperluas lagikhususnya daerah yang sering terjadi kebakaran hutanuntuk tampilan cuaca mohon dilengkapi lagi seperti aplikasiaplikasi lain,informasi kualitas udara mohon diperluas lagikhususnya daerah kebakaran hutanuntuk tampilan cuaca mohon dilengkapi aplikasiaplikasi,informasi kualita udara mohon diperlua lagikhususnya daerah kebakaran hutanuntuk tampilan cuaca mohon dilengkapi aplikasiaplikasi
Sangat bermanfaat,5,2024-11-12 10:06:08,Pengguna Google,Positif,sangat bermanfaat,bermanfaat,bermanfaat
"BMKG handal, Demi Indonesia, Sukses selalu...Aamiin🤲",5,2024-11-10 09:33:21,Pengguna Google,Positif,bmkg handal demi indonesia sukses selaluaamiin,bmkg handal indonesia sukses selaluaamiin,bmkg handal indonesia suks selaluaamiin
"Min, kalok prediksi cuaca yg bener dong, katanya bakal ujan tpi gak ujan2 nih daerah denpasar Php lu min",1,2024-11-10 08:29:25,Pengguna Google,Negatif,min kalok prediksi cuaca yg bener dong katanya bakal ujan tpi gak ujan nih daerah denpasar php lu min,min kalok prediksi cuaca yg bener ujan tpi gak ujan nih daerah denpasar php lu min,min kalok prediksi cuaca yg bener ujan tpi gak ujan nih daerah denpasar php lu min
"Aplikasinya cukup bagus. Cuma sedikit saran aja. D bagian info cuaca, pengguna dapat berpartisipasi memberikan info cuaca yang terlihat oleh pengguna. Tapi di fitur itu pengguna hanya bisa memilih satu saja fenomena yang ada. Sedangkan terkadang ada dua atau tiga fenomena cuaca yang bisa terjadi dalam satu waktu. Misal berawan, hujan ringan, angin kencang. Jadi mungkin bisa d buat pengguna dapat memilih lebih dari 1 fenomena cuaca. Terimakasih, semoga BMKG kita semakin maju ya",5,2024-11-10 07:50:44,Pengguna Google,Positif,aplikasinya cukup bagus cuma sedikit saran aja d bagian info cuaca pengguna dapat berpartisipasi memberikan info cuaca yang terlihat oleh pengguna tapi di fitur itu pengguna hanya bisa memilih satu saja fenomena yang ada sedangkan terkadang ada dua atau tiga fenomena cuaca yang bisa terjadi dalam satu waktu misal berawan hujan ringan angin kencang jadi mungkin bisa d buat pengguna dapat memilih lebih dari  fenomena cuaca terimakasih semoga bmkg kita semakin maju ya,aplikasinya bagus saran aja d info cuaca pengguna berpartisipasi info cuaca pengguna fitur pengguna memilih fenomena terkadang fenomena cuaca berawan hujan ringan angin kencang d pengguna memilih fenomena cuaca terimakasih semoga bmkg maju ya,aplikasinya bagu saran aja d info cuaca pengguna berpartisipasi info cuaca pengguna fitur pengguna memilih fenomena terkadang fenomena cuaca berawan hujan ringan angin kencang d pengguna memilih fenomena cuaca terimakasih semoga bmkg maju ya
aplikasi ini bisa mendeteksi gempa,5,2024-11-09 23:49:56,Pengguna Google,Positif,aplikasi ini bisa mendeteksi gempa,aplikasi mendeteksi gempa,aplikasi mendeteksi gempa
A.S,5,2024-11-09 05:37:20,Pengguna Google,Positif,as,as,as
",👍",5,2024-11-08 13:33:24,Pengguna Google,Positif,,,
"Buat notifikasi pop up saat gempa terjadi di wilayah yang sesuai kita pilih. Jadi nanti kalo ada gempa yang di wilayah terkena dampak itu akan dapat pop up, sedangkan wilayah yang tidak kena dampak hanya notifikasi biasa, dan juga ditambahan suara notifikasi peringatan yang berbeda dengan notif biasa.",3,2024-11-08 06:06:29,Pengguna Google,Netral,buat notifikasi pop up saat gempa terjadi di wilayah yang sesuai kita pilih jadi nanti kalo ada gempa yang di wilayah terkena dampak itu akan dapat pop up sedangkan wilayah yang tidak kena dampak hanya notifikasi biasa dan juga ditambahan suara notifikasi peringatan yang berbeda dengan notif biasa,notifikasi pop up gempa wilayah sesuai pilih kalo gempa wilayah terkena dampak pop up wilayah kena dampak notifikasi ditambahan suara notifikasi peringatan berbeda notif,notifikasi pop up gempa wilayah sesuai pilih kalo gempa wilayah terkena dampak pop up wilayah kena dampak notifikasi ditambahan suara notifikasi peringatan berbeda notif
"Untuk keseluruhan, sudah bagus. Saran saya tambah mode gelap ke aplikasi ini.",5,2024-11-07 13:31:39,Pengguna Google,Positif,untuk keseluruhan sudah bagus saran saya tambah mode gelap ke aplikasi ini,bagus saran mode gelap aplikasi,bagu saran mode gelap aplikasi
Cukup bagusss,4,2024-11-07 13:12:37,Pengguna Google,Positif,cukup bagusss,bagusss,bagusss
Cukup bagus,5,2024-11-07 03:34:57,Pengguna Google,Positif,cukup bagus,bagus,bagu
ok,5,2024-11-07 02:30:47,Pengguna Google,Positif,ok,ok,ok
Bagus.twrima kasih atas INFONYA,5,2024-11-07 02:02:39,Pengguna Google,Positif,bagustwrima kasih atas infonya,bagustwrima kasih infonya,bagustwrima kasih infonya
خزغة٥ م،، ٥زع,4,2024-11-05 12:53:22,Pengguna Google,Positif,خزغة م زع,خزغة م زع,خزغة م زع
Cuaca Terbaik 😇,5,2024-11-05 11:20:13,Pengguna Google,Positif,cuaca terbaik ,cuaca terbaik,cuaca terbaik
Aplikasi nya sangat informatif dan membantu,5,2024-11-04 06:30:37,Pengguna Google,Positif,aplikasi nya sangat informatif dan membantu,aplikasi nya informatif membantu,aplikasi nya informatif membantu
sangat membantu sekali pada setiap kondisi.,5,2024-11-04 03:59:07,Pengguna Google,Positif,sangat membantu sekali pada setiap kondisi,membantu kondisi,membantu kondisi
Ok,5,2024-11-04 03:58:25,Pengguna Google,Positif,ok,ok,ok
"Selalu mengikuti,untuk mendapatkan info terkini tentamg fenomena iklim",4,2024-11-03 12:39:32,Pengguna Google,Positif,selalu mengikutiuntuk mendapatkan info terkini tentamg fenomena iklim,mengikutiuntuk info terkini tentamg fenomena iklim,mengikutiuntuk info terkini tentamg fenomena iklim
Bagus sekali,5,2024-11-03 08:27:20,Pengguna Google,Positif,bagus sekali,bagus,bagu
Mantap dan pas sesuai prediksi,5,2024-11-03 06:25:42,Pengguna Google,Positif,mantap dan pas sesuai prediksi,mantap pas sesuai prediksi,mantap pa sesuai prediksi
mantap beritanya,5,2024-11-03 03:23:40,Pengguna Google,Positif,mantap beritanya,mantap beritanya,mantap beritanya
Oke,4,2024-11-03 00:00:37,Pengguna Google,Positif,oke,oke,oke
RIVALDI RISTIANDI PRATAMA,5,2024-11-02 21:45:37,Pengguna Google,Positif,rivaldi ristiandi pratama,rivaldi ristiandi pratama,rivaldi ristiandi pratama
Sangat bermanfaat.,5,2024-11-02 14:27:46,Pengguna Google,Positif,sangat bermanfaat,bermanfaat,bermanfaat
Berkat kalian saya jadi tahu informasi tentang cuaca dan cara menanganinya,5,2024-11-02 11:21:14,Pengguna Google,Positif,berkat kalian saya jadi tahu informasi tentang cuaca dan cara menanganinya,berkat informasi cuaca menanganinya,berkat informasi cuaca menanganinya
Aplikasinya Bagus Tolong Perbaiki Yang Kondisi Cuaca Nya Yang Cerah Tanpa Awan Gak Ada Lambang Matahari Gitu Tolong Perbaiki Lah,5,2024-11-02 08:02:28,Pengguna Google,Positif,aplikasinya bagus tolong perbaiki yang kondisi cuaca nya yang cerah tanpa awan gak ada lambang matahari gitu tolong perbaiki lah,aplikasinya bagus tolong perbaiki kondisi cuaca nya cerah awan gak lambang matahari gitu tolong perbaiki,aplikasinya bagu tolong perbaiki kondisi cuaca nya cerah awan gak lambang matahari gitu tolong perbaiki
Wow keren 🥳🥳🥳,5,2024-11-02 07:50:15,Pengguna Google,Positif,wow keren ,wow keren,wow keren
Mantap,5,2024-11-02 05:52:55,Pengguna Google,Positif,mantap,mantap,mantap
Ini kenapa kok gak bisa tampil ke menu utama ya stuck di logo aja,1,2024-11-02 04:15:49,Pengguna Google,Negatif,ini kenapa kok gak bisa tampil ke menu utama ya stuck di logo aja,gak tampil menu utama ya stuck logo aja,gak tampil menu utama ya stuck logo aja
"Tk,s",5,2024-11-01 19:46:04,Pengguna Google,Positif,tks,tks,tk
"halo, bisakah tambahkan mode gelap?",5,2024-11-01 19:08:23,Pengguna Google,Positif,halo bisakah tambahkan mode gelap,halo tambahkan mode gelap,halo tambahkan mode gelap
Saya suka ini,5,2024-11-01 15:18:21,Pengguna Google,Positif,saya suka ini,suka,suka
Mantap,5,2024-11-01 11:41:24,Pengguna Google,Positif,mantap,mantap,mantap
"Aplikasi yang bagus, semoga bisa mengupdate lebih akurat lagi perihal cuaca setempat",5,2024-11-01 08:56:50,Pengguna Google,Positif,aplikasi yang bagus semoga bisa mengupdate lebih akurat lagi perihal cuaca setempat,aplikasi bagus semoga mengupdate akurat perihal cuaca,aplikasi bagu semoga mengupd akurat perih cuaca
Bagus pokonya👍,5,2024-11-01 08:23:29,Pengguna Google,Positif,bagus pokonya,bagus pokonya,bagu pokonya
Terima kasih,5,2024-11-01 06:54:55,Pengguna Google,Positif,terima kasih,terima kasih,terima kasih
"Informasi yang diberikan sangat bermanfaat serta selalu terupdate sehingga dapat membantu orang - orang untuk waspada lebih dini sebelum musibah datang, terimakasih sudah menciptakan APK ini, tingkatkan terus APKnya agar lebih baik dan lebih baik lagi kedepannya. Saya terkhusus In Shaa Allah, akan terus membantu update info BMKG melalui status Saya, yang mungkin akan sangat bermanfaat bagi keluarga dan teman2 yang ada dikontak Saya.",4,2024-11-01 06:30:38,Pengguna Google,Positif,informasi yang diberikan sangat bermanfaat serta selalu terupdate sehingga dapat membantu orang  orang untuk waspada lebih dini sebelum musibah datang terimakasih sudah menciptakan apk ini tingkatkan terus apknya agar lebih baik dan lebih baik lagi kedepannya saya terkhusus in shaa allah akan terus membantu update info bmkg melalui status saya yang mungkin akan sangat bermanfaat bagi keluarga dan teman yang ada dikontak saya,informasi bermanfaat terupdate membantu orang orang waspada musibah terimakasih menciptakan apk tingkatkan apknya kedepannya terkhusus in shaa allah membantu update info bmkg status bermanfaat keluarga teman dikontak,informasi bermanfaat terupd membantu orang orang waspada musibah terimakasih menciptakan apk tingkatkan apknya kedepannya terkhusu in shaa allah membantu updat info bmkg statu bermanfaat keluarga teman dikontak
Sangat membantu Sekali,5,2024-11-01 06:22:32,Pengguna Google,Positif,sangat membantu sekali,membantu,membantu
Baru coba,4,2024-11-01 06:04:05,Pengguna Google,Positif,baru coba,coba,coba
Sangat membantu,4,2024-11-01 04:57:59,Pengguna Google,Positif,sangat membantu,membantu,membantu
Memantau cuaca jadi lebih mudah dengan aplikasi ini,5,2024-11-01 00:39:01,Pengguna Google,Positif,memantau cuaca jadi lebih mudah dengan aplikasi ini,memantau cuaca mudah aplikasi,memantau cuaca mudah aplikasi
Good,5,2024-10-31 17:40:23,Pengguna Google,Positif,good,good,good
Updatenya SDH bagus tapi agak telat,4,2024-10-31 15:00:51,Pengguna Google,Positif,updatenya sdh bagus tapi agak telat,updatenya sdh bagus telat,updatenya sdh bagu telat
Mantap sangat membantu👍👍,5,2024-10-31 14:39:38,Pengguna Google,Positif,mantap sangat membantu,mantap membantu,mantap membantu
Sangat membantu dalam menerima info cuaca dan yang lainnya,5,2024-10-31 11:46:22,Pengguna Google,Positif,sangat membantu dalam menerima info cuaca dan yang lainnya,membantu menerima info cuaca,membantu menerima info cuaca
Bagus cuma kadang eror kenapa ya apakah hp saya yg kentang,3,2024-10-31 11:31:08,Pengguna Google,Netral,bagus cuma kadang eror kenapa ya apakah hp saya yg kentang,bagus kadang eror ya hp yg kentang,bagu kadang eror ya hp yg kentang
Bagud,5,2024-10-31 10:16:32,Pengguna Google,Positif,bagud,bagud,bagud
Stuck di display putih tengahnya hanya ada logo BMKG nya saja. Sudah semingguan dipantau dan tetap sama. Auto uninstall.,1,2024-10-31 08:10:00,Pengguna Google,Negatif,stuck di display putih tengahnya hanya ada logo bmkg nya saja sudah semingguan dipantau dan tetap sama auto uninstall,stuck display putih tengahnya logo bmkg nya semingguan dipantau auto uninstall,stuck display putih tengahnya logo bmkg nya semingguan dipantau auto uninstal
Ok,5,2024-10-31 02:06:02,Pengguna Google,Positif,ok,ok,ok
tolong tambahin mode gelap dong,4,2024-10-31 00:57:45,Pengguna Google,Positif,tolong tambahin mode gelap dong,tolong tambahin mode gelap,tolong tambahin mode gelap
Sangat membantu kewaspadaan saat sebelum terjadi hujan,5,2024-10-30 23:33:21,Pengguna Google,Positif,sangat membantu kewaspadaan saat sebelum terjadi hujan,membantu kewaspadaan hujan,membantu kewaspadaan hujan
Bagus aplikasinya sangat membantu.,4,2024-10-30 22:51:34,Pengguna Google,Positif,bagus aplikasinya sangat membantu,bagus aplikasinya membantu,bagu aplikasinya membantu
Tolong tampilkan juga hilal setiap bulan. Suoaya nggak ribut terus saat idul fitri sama awal ramadhan terus,5,2024-10-30 22:23:20,Pengguna Google,Positif,tolong tampilkan juga hilal setiap bulan suoaya nggak ribut terus saat idul fitri sama awal ramadhan terus,tolong tampilkan hilal suoaya nggak ribut idul fitri ramadhan,tolong tampilkan hilal suoaya nggak ribut idul fitri ramadhan
"Udah abis gempa baru dikasi tau ada gempa, ini aplikasi peringatan gempa apa perayaan gempa ?",1,2024-10-30 21:19:55,Pengguna Google,Negatif,udah abis gempa baru dikasi tau ada gempa ini aplikasi peringatan gempa apa perayaan gempa ,udah abis gempa dikasi tau gempa aplikasi peringatan gempa perayaan gempa,udah abi gempa dikasi tau gempa aplikasi peringatan gempa perayaan gempa
Bermanfaat sekali untuk mendapat informasi👍👍👍,5,2024-10-30 19:18:47,Pengguna Google,Positif,bermanfaat sekali untuk mendapat informasi,bermanfaat informasi,bermanfaat informasi
Ok mntap,5,2024-10-30 17:33:45,Pengguna Google,Positif,ok mntap,ok mntap,ok mntap
Sangat membantu dalam saya menjalankan tugas,5,2024-10-30 17:15:57,Pengguna Google,Positif,sangat membantu dalam saya menjalankan tugas,membantu menjalankan tugas,membantu menjalankan tuga
Sangat bermanfaat,5,2024-10-30 17:01:20,Pengguna Google,Positif,sangat bermanfaat,bermanfaat,bermanfaat
𝗔𝗸𝘂 𝘀𝗮𝗻𝗴𝗮𝘁 𝗺𝗲𝗻𝘆𝘂𝗸𝗮𝗶 𝗮𝗽𝗹𝗶𝗸𝗮𝘀𝗶 𝗶𝗻𝗳𝗼𝗿𝗺𝗮𝘀𝗶 𝗯𝗲𝗻𝗰𝗮𝗻𝗮 𝗮𝗹𝗮𝗺 indonesia,5,2024-10-30 11:53:07,Pengguna Google,Positif,𝗔𝗸𝘂 𝘀𝗮𝗻𝗴𝗮𝘁 𝗺𝗲𝗻𝘆𝘂𝗸𝗮𝗶 𝗮𝗽𝗹𝗶𝗸𝗮𝘀𝗶 𝗶𝗻𝗳𝗼𝗿𝗺𝗮𝘀𝗶 𝗯𝗲𝗻𝗰𝗮𝗻𝗮 𝗮𝗹𝗮𝗺 indonesia,𝗔𝗸𝘂 𝘀𝗮𝗻𝗴𝗮𝘁 𝗺𝗲𝗻𝘆𝘂𝗸𝗮𝗶 𝗮𝗽𝗹𝗶𝗸𝗮𝘀𝗶 𝗶𝗻𝗳𝗼𝗿𝗺𝗮𝘀𝗶 𝗯𝗲𝗻𝗰𝗮𝗻𝗮 𝗮𝗹𝗮𝗺 indonesia,𝗔𝗸𝘂 𝘀𝗮𝗻𝗴𝗮𝘁 𝗺𝗲𝗻𝘆𝘂𝗸𝗮𝗶 𝗮𝗽𝗹𝗶𝗸𝗮𝘀𝗶 𝗶𝗻𝗳𝗼𝗿𝗺𝗮𝘀𝗶 𝗯𝗲𝗻𝗰𝗮𝗻𝗮 𝗮𝗹𝗮𝗺 indonesia
membantu untuk beraktifitas kerja dilapangan,5,2024-10-30 11:14:35,Pengguna Google,Positif,membantu untuk beraktifitas kerja dilapangan,membantu beraktifitas kerja dilapangan,membantu beraktifita kerja dilapangan
Sekarang lahi hujan,5,2024-10-30 09:44:16,Pengguna Google,Positif,sekarang lahi hujan,lahi hujan,lahi hujan
🥰,5,2024-10-30 05:18:07,Pengguna Google,Positif,,,
sangat bermanfaat untuk kami petani,5,2024-10-30 05:15:09,Pengguna Google,Positif,sangat bermanfaat untuk kami petani,bermanfaat petani,bermanfaat petani
"Alhamdulilla membantu, saya sarankan lebih akurat lagi",4,2024-10-30 04:55:18,Pengguna Google,Positif,alhamdulilla membantu saya sarankan lebih akurat lagi,alhamdulilla membantu sarankan akurat,alhamdulilla membantu sarankan akurat
ok,5,2024-10-30 04:39:32,Pengguna Google,Positif,ok,ok,ok
"Sangat penting ,kita bida tahu keadaan alam kedepannya...trims",5,2024-10-30 04:21:49,Pengguna Google,Positif,sangat penting kita bida tahu keadaan alam kedepannyatrims,bida alam kedepannyatrims,bida alam kedepannyatrim
Bagus aplikasinya,4,2024-10-30 04:21:41,Pengguna Google,Positif,bagus aplikasinya,bagus aplikasinya,bagu aplikasinya
sy berharap ada mode gelap di update berikutnya. silau sekali dengan latar putih,4,2024-10-30 03:59:01,Pengguna Google,Positif,sy berharap ada mode gelap di update berikutnya silau sekali dengan latar putih,sy berharap mode gelap update silau latar putih,sy berharap mode gelap updat silau latar putih
Maaf kak bmkg anda telat memberikan informasi tentang bencana alam,1,2024-10-30 03:55:40,Pengguna Google,Negatif,maaf kak bmkg anda telat memberikan informasi tentang bencana alam,maaf kak bmkg telat informasi bencana alam,maaf kak bmkg telat informasi bencana alam
Nice aplikasi,5,2024-10-30 02:35:54,Pengguna Google,Positif,nice aplikasi,nice aplikasi,nice aplikasi
Infonya kok tidak up date ya,4,2024-10-30 02:06:04,Pengguna Google,Positif,infonya kok tidak up date ya,infonya up date ya,infonya up date ya
Informasi suhu cuaca real-time tidak serasi dengan sumber lainnya,3,2024-10-29 13:01:15,Pengguna Google,Netral,informasi suhu cuaca realtime tidak serasi dengan sumber lainnya,informasi suhu cuaca realtime serasi sumber,informasi suhu cuaca realtim serasi sumber
I love BMKG Gowa,5,2024-10-28 11:03:56,Pengguna Google,Positif,i love bmkg gowa,i love bmkg gowa,i love bmkg gowa
